code;latitude;longitude
AalE;57.05275826;9.993532175
AalW;57.04769337;9.865353159
Aved;55.60558503;12.45318046
Bjer;56.371655;9.652673595
Damh;55.68288077;12.47042617
Ega;56.21567234;10.25414001
Ejby;55.43130127;9.956537732
EsbE;55.46014081;8.499801157
EsbW;55.48824319;8.432631049
Fred;55.8308143;12.06613608
Hade;55.24994085;9.511042287
Hirt;57.57828041;10.00029866
Hjor;57.4273996;10.01841306
Kalu;55.73073312;10.96655388
Lyne;55.79850736;8.491883211
Mari;54.82666729;11.54400797
OdNE;55.39928223;10.42053373
OdNW;55.4234774;10.35476228
Rand;56.45411357;10.0713675
Ribe;55.33499468;8.787420971
Skiv;56.56530492;9.042676474
Vibo;56.43046968;9.41385526
Viby;56.1287927;10.15311872
